"","country","gender","health","happy","id","news","internet","polintr","cptppola","trstplt","trstprt","trstsci","vote","trstprl","lrscale","stfdem","stfhlth","stfedu","freehms","hmsacld","atcherp","agea","education","unemployd","partnr_educ","happy_scaled","health_centered"
"13309","HU","Female",2,7,23663,30,5,3,1,2,2,6,2,3,NA,NA,3,3,2,2,10,46,313,0,321,-0.0676980808178235,-0.246007984031936
"13310","HU","Male",1,7,23684,694,4,4,1,5,4,5,1,3,4,2,2,3,3,5,0,70,313,0,321,-0.0676980808178235,-1.24600798403194
"13311","HU","Female",3,8,23686,90,4,2,4,10,10,6,1,10,10,10,6,9,5,5,10,65,610,0,321,0.419327968643947,0.753992015968064
"13312","HU","Female",3,9,23706,20,4,3,2,6,6,7,1,6,6,7,5,7,3,3,8,50,313,0,313,0.906354018105718,0.753992015968064
"13313","HU","Female",2,8,23715,120,3,2,1,0,2,10,1,0,2,0,1,1,2,2,10,70,710,0,NA,0.419327968643947,-0.246007984031936
"13314","HU","Female",2,7,23717,60,5,3,2,3,2,1,1,3,2,1,2,2,2,2,8,43,313,0,321,-0.0676980808178235,-0.246007984031936
"13315","HU","Female",2,5,23722,858,3,2,2,8,7,8,1,8,10,7,8,7,1,2,6,73,321,0,NA,-1.04175017974137,-0.246007984031936
"13316","HU","Male",1,7,23726,30,5,2,2,0,0,8,1,1,6,2,2,2,1,3,3,58,321,0,323,-0.0676980808178235,-1.24600798403194
"13317","HU","Female",2,7,23734,30,5,3,3,4,5,5,1,4,3,5,5,6,2,2,6,46,321,0,321,-0.0676980808178235,-0.246007984031936
"13318","HU","Female",2,8,23752,30,5,4,2,1,1,8,1,4,5,5,2,3,2,3,9,50,610,0,610,0.419327968643947,-0.246007984031936
"13319","HU","Male",3,7,23754,30,3,3,2,5,5,7,1,6,6,6,6,7,2,4,9,73,720,0,213,-0.0676980808178235,0.753992015968064
"13320","HU","Male",1,10,23758,0,5,4,1,NA,NA,8,3,5,NA,7,3,10,2,NA,10,16,213,0,NA,1.39338006756749,-1.24600798403194
